Date, Close/Last, Volume, Open, High, Low
04/03/2020, $27.46, 53443180, $28.53, $28.74, $27.25
04/02/2020, $28.76, 33818420, $28, $28.87, $28
04/01/2020, $28.05, 54645990, $28.38, $28.58, $27.7
03/31/2020, $29.15, 69813370, $30.04, $30.13, $29.05
03/30/2020, $30.23, 41629880, $29.9, $30.41, $29.48
03/27/2020, $29.84, 46386010, $29.69, $30.82, $29.22
03/26/2020, $30.6, 64092410, $28.68, $30.96, $28.68
03/25/2020, $28.4, 68027710, $28.08, $29.93, $27.37
03/24/2020, $28.09, 76300910, $28, $28.3, $26.84
03/23/2020, $26.77, 96884140, $27.39, $27.71, $26.08
03/20/2020, $28.45, 116732300, $30.46, $30.5, $28.18
03/19/2020, $31.15, 60817170, $31.36, $32.49, $30.5
03/18/2020, $32.85, 76034400, $32, $32.91, $30.25
03/17/2020, $33.74, 59642020, $32.12, $34.061, $32.01
03/16/2020, $31.81, 58776600, $31, $33.8901, $30.92
03/13/2020, $34.47, 64688760, $32.92, $34.61, $31.855
03/12/2020, $31.33, 84215240, $31.86, $33.43, $31.06
03/11/2020, $34.52, 45340450, $34.85, $35.07, $34.16
03/10/2020, $35.85, 56660610, $35.51, $35.89, $34.24
03/09/2020, $34.69, 67968650, $35.01, $36.15, $34.38
03/06/2020, $37.03, 48883080, $36.71, $37.25, $36.18
03/05/2020, $37.18, 45298120, $37.4, $37.925, $36.97
03/04/2020, $38.18, 42070350, $37.02, $38.22, $36.72
03/03/2020, $36.3, 63808010, $37.26, $37.96, $35.87
03/02/2020, $37.18, 68432790, $35.37, $37.42, $35.29
02/28/2020, $35.22, 121099700, $34, $35.72, $33.01
02/27/2020, $35.73, 66325720, $36.58, $36.913, $35.36
02/26/2020, $37.1, 40268170, $37.19, $37.785, $36.92
02/25/2020, $37.35, 48886210, $38.11, $38.28, $37.26
02/24/2020, $38.05, 34886900, $37.99, $38.51, $37.98
02/21/2020, $38.55, 28468240, $38.52, $38.68, $38.365
02/20/2020, $38.61, 27176130, $38.4, $38.67, $38.31
02/19/2020, $38.44, 22601210, $38.24, $38.65, $38.16
02/18/2020, $38.26, 24280100, $38.18, $38.3194, $38.04
02/14/2020, $38.25, 27388870, $38.28, $38.47, $38.11
02/13/2020, $38.31, 24627630, $37.88, $38.43, $37.855
02/12/2020, $38.04, 31309380, $38.19, $38.33, $38.02
02/11/2020, $38.17, 31978010, $38.49, $38.82, $37.9
02/10/2020, $38.34, 18544340, $38.42, $38.54, $38.1
02/07/2020, $38.45, 25198660, $38.45, $38.72, $38.36
02/06/2020, $38.44, 26212560, $37.8603, $38.48, $37.8603
02/05/2020, $37.81, 24637490, $37.73, $37.95, $37.52
02/04/2020, $37.63, 31958850, $37.08, $37.74, $36.935
02/03/2020, $36.96, 40785830, $37.96, $37.97, $36.8
01/31/2020, $37.62, 41160010, $37.32, $37.76, $37.25
01/30/2020, $37.43, 50680310, $36.47, $37.45, $36.32
01/29/2020, $37.05, 57974420, $38.5, $38.56, $37.025
