Date, Close/Last, Volume, Open, High, Low
04/03/2020, $361.76, 4860768, $367.47, $370.9, $357.51
04/02/2020, $370.08, 4592477, $364.08, $370.99, $360.06
04/01/2020, $364.08, 6672454, $376.05, $380.233, $361.02
03/31/2020, $375.5, 9366464, $367.93, $383.01, $366.44
03/30/2020, $370.96, 8621964, $363, $377.8, $361.17
03/27/2020, $357.12, 7948775, $359.09, $368.56, $353
03/26/2020, $362.99, 7235016, $344, $363.84, $341.73
03/25/2020, $342.39, 8767171, $361.02, $362, $339.17
03/24/2020, $357.32, 11638680, $369.99, $372.93, $353.0301
03/23/2020, $360.27, 13449380, $347.89, $366.11, $340.8838
03/20/2020, $332.83, 10853850, $342.31, $350.49, $332
03/19/2020, $332.03, 10615960, $324.33, $348.51, $316.82
03/18/2020, $315.47, 12593650, $302.395, $331.5794, $300
03/17/2020, $319.75, 10013910, $306.19, $322.9, $290.25
03/16/2020, $298.84, 10559940, $306.63, $334.35, $294.75
03/13/2020, $336.295, 9458197, $330.51, $336.42, $307.39
03/12/2020, $315.25, 12071590, $326.5, $335.72, $307.32
03/11/2020, $349.92, 6058782, $358.92, $362.98, $344.79
03/10/2020, $364.13, 7604444, $356.425, $364.54, $347.85
03/09/2020, $346.49, 7405458, $343.86, $357.47, $341.7209
03/06/2020, $368.97, 8147165, $367.7, $371.31, $356.85
03/05/2020, $372.78, 8746985, $381, $391.4, $368.6401
03/04/2020, $383.79, 5487340, $377.77, $384.01, $370.51
03/03/2020, $368.77, 8364623, $381.03, $393.52, $367.4
03/02/2020, $381.05, 6997891, $373.11, $381.36, $364.502
02/28/2020, $369.03, 11178570, $364.21, $376.77, $356.8
02/27/2020, $371.71, 10967700, $371.46, $391.5624, $370.5962
02/26/2020, $379.24, 8961126, $366.31, $382, $365
02/25/2020, $360.09, 6481243, $372, $375.65, $357.72
02/24/2020, $368.7, 6936418, $364.76, $372.82, $361
02/21/2020, $380.07, 3935618, $385.33, $387.32, $377.9008
02/20/2020, $386, 4079425, $386.56, $389.7, $376.68
02/19/2020, $386.19, 4896368, $388.12, $392.95, $384.9
02/18/2020, $387.78, 5180400, $379.3, $389.54, $379.19
02/14/2020, $380.4, 3736266, $381.47, $385.15, $379.4342
02/13/2020, $381.4, 4485383, $376.96, $385.37, $376.51
02/12/2020, $380.01, 4624772, $377.18, $380.62, $375.88
02/11/2020, $373.69, 4772870, $373.75, $378.11, $369.72
02/10/2020, $371.07, 5294138, $365, $374.8, $362.52
02/07/2020, $366.77, 4385227, $365.04, $371.8, $363.57
02/06/2020, $366.95, 3920428, $369.6, $371.5499, $362.505
02/05/2020, $369.67, 6437026, $375.125, $375.25, $362.3
02/04/2020, $369.01, 7161451, $361, $369.57, $356.0964
02/03/2020, $358, 6674885, $347.24, $359.63, $346.28
01/31/2020, $345.09, 5230001, $347.39, $347.39, $340.98
01/30/2020, $347.74, 5328136, $341.1, $348.2, $339.25
01/29/2020, $343.16, 7649183, $349, $349.4, $338.55
01/28/2020, $348.52, 6821581, $345.88, $352.4, $342.78
01/27/2020, $342.88, 7709482, $345.95, $351.9, $341.02
01/24/2020, $353.16, 17939680, $348.46, $359.85, $345.88
01/23/2020, $349.6, 18200290, $326.04, $349.88, $325.01
01/22/2020, $326, 21729960, $332.55, $336.3, $323.6
01/21/2020, $338.11, 14350320, $340, $341, $332.59
01/17/2020, $339.67, 6066547, $341, $341.57, $337.38
01/16/2020, $338.62, 5015997, $343.5, $343.555, $335.85
01/15/2020, $339.07, 5158035, $338.68, $343.17, $336.6
01/14/2020, $338.69, 7201544, $344.4, $345.38, $335.52
01/13/2020, $338.92, 6296174, $331.8, $340.85, $331.51
01/10/2020, $329.05, 4720540, $337.13, $338.5, $327.27
01/09/2020, $335.66, 4717430, $342, $343.4196, $334.6101
01/08/2020, $339.26, 7109117, $331.49, $342.7, $331.05
01/07/2020, $330.75, 4742458, $336.47, $336.7, $330.3
01/06/2020, $335.83, 5668577, $323.12, $336.36, $321.2
01/03/2020, $325.9, 3795466, $326.78, $329.8599, $325.53
01/02/2020, $329.81, 4348493, $326.1, $329.98, $324.78
12/31/2019, $323.57, 3714837, $322, $324.916, $321.09
12/30/2019, $323.31, 4315267, $329.08, $329.185, $322.86
12/27/2019, $329.09, 5037156, $332.96, $333.82, $326.01
12/26/2019, $332.63, 3595854, $334.6, $336.4623, $332.01
12/24/2019, $333.2, 2019322, $334.01, $335.7, $331.6
12/23/2019, $333.1, 5767937, $337.76, $337.95, $331.0201
12/20/2019, $336.9, 9923260, $335, $338, $330.6
12/19/2019, $332.22, 9833355, $324.5, $332.83, $324.18
12/18/2019, $320.8, 11210740, $316.26, $325.36, $315.6
12/17/2019, $315.48, 10437130, $307.36, $316.8, $306.6
12/16/2019, $304.21, 4660166, $300.85, $305.71, $298.63
12/13/2019, $298.5, 3883069, $298.5, $301.8, $297.25
12/12/2019, $298.44, 4771404, $295.67, $299.165, $295.06
12/11/2019, $298.93, 5607155, $294.49, $299.43, $294.2
12/10/2019, $293.12, 10481240, $296.12, $298.94, $292.02
12/09/2019, $302.5, 5766006, $307.35, $311.49, $302.44
12/06/2019, $307.35, 4459684, $304.7, $307.8495, $302.6
12/05/2019, $302.86, 4618867, $305.27, $306.48, $298.81
12/04/2019, $304.32, 3513551, $308.43, $308.43, $303.2727
12/03/2019, $306.16, 5272447, $302.22, $307.36, $301.88
12/02/2019, $309.99, 6223135, $314.39, $314.39, $303.75
11/29/2019, $314.66, 2411749, $315.78, $316.62, $313.34
11/27/2019, $315.93, 4100975, $313.93, $316.82, $312.75
11/26/2019, $312.49, 5328348, $315, $316.5, $311.69
11/25/2019, $315.55, 7878943, $308.83, $315.73, $305.25
11/22/2019, $310.48, 5970056, $309.1, $311.4, $304.41
11/21/2019, $311.69, 7488373, $306, $312.69, $304.2622
11/20/2019, $305.16, 5115546, $301.01, $308.25, $301
11/19/2019, $302.6, 5919710, $304.01, $305.6699, $298.5201
11/18/2019, $302.57, 8621566, $296, $304.99, $293.28
11/15/2019, $295.03, 6337779, $290.59, $295.8186, $287.568
11/14/2019, $289.62, 6539771, $283.25, $290.63, $283.22
11/13/2019, $283.11, 9233066, $291.03, $293.41, $281.14
11/12/2019, $292.01, 5774833, $295.32, $295.345, $288.7
11/11/2019, $294.18, 3945885, $289.16, $296.36, $288.5
11/08/2019, $291.57, 4509588, $288.73, $293.99, $287.505
11/07/2019, $289.57, 5928471, $290.7, $298.19, $288.2679
11/06/2019, $288.59, 3438257, $288.19, $290.56, $285.84
11/05/2019, $288.03, 4062370, $289.99, $291.19, $286.31
11/04/2019, $292.86, 5566213, $288, $295.39, $287.16
11/01/2019, $286.81, 5594293, $288.7, $289.12, $283.02
10/31/2019, $287.41, 5090021, $291, $291.45, $284.78
10/30/2019, $291.45, 9345562, $284.34, $293.49, $283
10/29/2019, $281.21, 4356181, $281.87, $284.41, $277.545
10/28/2019, $281.86, 6248433, $278.05, $285.75, $277.35
10/25/2019, $276.82, 4747829, $270.68, $277.77, $270.18
10/24/2019, $271.5, 4911033, $271.81, $274.02, $268.8
10/23/2019, $271.27, 7154430, $268.06, $273.92, $266.63
10/22/2019, $266.69, 11865590, $271.159, $275.41, $265.8
10/21/2019, $278.05, 12633960, $272.89, $279.9399, $269
10/18/2019, $275.3, 23449640, $289.36, $290.9, $273.36
10/17/2019, $293.35, 38462340, $304.49, $308.75, $288.3001
10/16/2019, $286.28, 18413340, $283.12, $288.17, $280.7431
10/15/2019, $284.25, 7728161, $283.82, $285.87, $279.4
10/14/2019, $285.53, 5543120, $283.93, $286.93, $282
10/11/2019, $282.93, 8817301, $284.8, $287.87, $275.8947
10/10/2019, $280.48, 10961190, $265.97, $280.53, $265.0337
10/09/2019, $267.53, 6843488, $270.02, $271, $264.57
10/08/2019, $270.72, 6302269, $273.03, $275.53, $270.6427
10/07/2019, $274.46, 6796811, $271.99, $276.68, $271.28
10/04/2019, $272.79, 9992774, $268.2, $275.4846, $266.47
10/03/2019, $268.15, 9068810, $267.78, $268.843, $257.01
10/02/2019, $268.03, 7773299, $263.61, $269.35, $262.19
10/01/2019, $269.58, 8786284, $267.35, $272.2, $264.03
09/30/2019, $267.62, 6823100, $264, $268.88, $262.78
09/27/2019, $263.08, 7367491, $266.175, $267.44, $260.39
09/26/2019, $263.31, 7696858, $266.42, $268.05, $260.2
09/25/2019, $264.75, 11846750, $255.71, $266.6, $253.7
09/24/2019, $254.59, 16392810, $262.5, $265, $252.28
09/23/2019, $265.92, 13610290, $268.345, $273.39, $261.89
09/20/2019, $270.75, 23954190, $280.26, $282.5, $266
09/19/2019, $286.6, 8545761, $291.56, $293.81, $283.4
