Date, Close/Last, Volume, Open, High, Low
04/03/2020, $18.27, 26151, $18.51, $19, $17.26
04/02/2020, $19.64, 316114, $18.51, $20, $18.32
04/01/2020, $17.405, 63736, $17.52, $18.5, $17.28
03/31/2020, $17.615, 97100, $17.15, $17.99, $16.55
03/30/2020, $16.975, 21285, $15.77, $16.995, $15.62
03/27/2020, $16.0225, 120466, $15.65, $16.55, $15.65
03/26/2020, $17.3, 582988, $16.99, $17.595, $16.31
03/25/2020, $17.5, 82131, $15.93, $17.83, $15.9
03/24/2020, $15.8, 206761, $14.44, $16.25, $14.44
03/23/2020, $13.7, 79816, $13.8, $13.8, $12.7
03/20/2020, $12.3, 72716, $13.19, $13.33, $12.3
03/19/2020, $12.25, 44734, $11.08, $12.73, $11.04
03/18/2020, $11.1, 165634, $12.63, $13.725, $10.7
03/17/2020, $13.195, 87782, $13.67, $13.67, $12.58
03/16/2020, $13.25, 45846, $14.6, $14.65, $12.9
03/13/2020, $15.19, 150238, $16.01, $16.01, $13.75
03/12/2020, $15.09, 51699, $16.125, $16.71, $14.31
03/11/2020, $17.8, 34674, $17.9, $17.9, $17
03/10/2020, $18.115, 52764, $19.07, $19.475, $17.58
03/09/2020, $17.8, 212357, $18.84, $19, $17.26
03/06/2020, $21.225, 22285, $21.71, $21.8, $21
03/05/2020, $22.31, 12328, $22.08, $22.52, $21.75
03/04/2020, $23.25, 228067, $22.2668, $23.25, $22.2668
03/03/2020, $22.1, 279005, $23.01, $23.01, $22
03/02/2020, $22.533, 15065, $22.04, $22.74, $21.6
02/28/2020, $21.91, 120653, $21.9, $22.27, $21
02/27/2020, $22.235, 106522, $22.5, $22.775, $22
02/26/2020, $22.8635, 27898, $22.61, $23.4, $22.6
02/25/2020, $23, 118280, $23.29, $23.6325, $22.75
02/24/2020, $23.65, 9379, $23.81, $24.1, $23.17
02/21/2020, $24.35, 234326, $24.97, $25.16, $24.3
02/20/2020, $25, 66865, $25.15, $25.21, $24.7827
02/19/2020, $25.46, 206554, $25.1, $25.59, $25.1
02/18/2020, $25.225, 10460, $25.301, $25.49, $25
02/14/2020, $25.2195, 5416, $25.5, $25.717, $25.0725
02/13/2020, $25.96, 606701, $25.7, $26, $25.41
02/12/2020, $26.0001, 8488, $26.437, $26.55, $25.8
02/11/2020, $25.65, 8759, $25.95, $26.37, $25.5
02/10/2020, $25.955, 10556, $25.5, $26.13, $25.5
02/07/2020, $26.42, 3485, $26.33, $26.43, $25.5
02/06/2020, $26.4, 105566, $26.29, $26.73, $25.74
02/05/2020, $26.7, 275200, $26.2, $26.83, $26.2
02/04/2020, $26.1135, 12432, $26.02, $26.5099, $25.55
02/03/2020, $25.79, 70419, $26.13, $26.13, $25.5
01/31/2020, $26.04, 70327, $26.14, $26.82, $26.04
01/30/2020, $26.775, 41250, $27.41, $27.41, $26.62
01/29/2020, $28.39, 207345, $28.27, $28.39, $27.51
01/28/2020, $28.39, 12988, $27.5, $28.39, $27.5
01/27/2020, $28.65, 6732, $27.875, $28.65, $27.875
01/24/2020, $28.23, 93532, $29.11, $29.11, $28.23
01/23/2020, $29, 1445, $28.6, $29, $28.5
01/22/2020, $28.75, 585, $28.75, $28.75, $28.75
01/21/2020, $28.69, 6580, $29.29, $29.39, $28.6
01/17/2020, $29.58, 73771, $29.83, $29.83, $29.29
